20,20,0,1,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.00006,1.00023,1.00054,1.00096,1.00151,1.00218,1.00298,1.0039,1.00494,1.0061,1.00738,1.00878,1.0103,1.01194,1.01372,1.01563,1.01769,1.0199,1.02228,1.02477
1,1.00023,1.00096,1.00218,1.0039,1.00611,1.00882,1.01202,1.01572,1.01992,1.02461,1.02979,1.03548,1.04166,1.04835,1.05556,1.06331,1.07161,1.08051,1.09004,1.1002
1,1.00054,1.00218,1.00494,1.00882,1.01382,1.01994,1.02719,1.03557,1.04509,1.05575,1.06757,1.08054,1.09468,1.11,1.12652,1.14428,1.16333,1.18371,1.20553,1.22889
1,1.00096,1.0039,1.00882,1.01573,1.02465,1.03558,1.04856,1.06358,1.08068,1.09987,1.12117,1.14459,1.17017,1.19791,1.22786,1.26004,1.29451,1.33135,1.37068,1.41268
1,1.00151,1.00611,1.01382,1.02465,1.03864,1.05582,1.07625,1.09994,1.12696,1.15733,1.19109,1.22827,1.26888,1.31292,1.36039,1.41127,1.46554,1.52318,1.5842,1.64872
1,1.00218,1.00882,1.01994,1.03558,1.05582,1.08073,1.11038,1.14484,1.1842,1.22849,1.27775,1.33196,1.39108,1.45499,1.52351,1.5964,1.67334,1.75391,1.83767,1.9242
1,1.00298,1.01202,1.02719,1.04856,1.07625,1.11038,1.15108,1.19847,1.25262,1.31356,1.38123,1.45547,1.53599,1.62234,1.71389,1.80977,1.90893,2.01005,2.11162,2.21199
1,1.0039,1.01572,1.03557,1.06358,1.09994,1.14484,1.19847,1.26094,1.3323,1.41244,1.50105,1.59757,1.70115,1.81055,1.92417,2.03997,2.15551,2.26795,2.37415,2.47072
1,1.00494,1.01992,1.04509,1.08068,1.12696,1.1842,1.25262,1.3323,1.42312,1.52461,1.63591,1.75562,1.88176,2.01169,2.1421,2.26912,2.38835,2.49513,2.58473,2.65257
1,1.0061,1.02461,1.05575,1.09987,1.15733,1.22849,1.31356,1.41244,1.52461,1.6489,1.78337,1.92512,2.07027,2.21398,2.35059,2.47393,2.57773,2.65614,2.70421,2.71828
1,1.00738,1.02979,1.06757,1.12117,1.19109,1.27775,1.38123,1.50105,1.63591,1.78337,1.93965,2.09951,2.25631,2.40233,2.52932,2.62923,2.69517,2.72216,2.70782,2.65257
1,1.00878,1.03548,1.08054,1.14459,1.22827,1.33196,1.45547,1.59757,1.75562,1.92512,2.09951,2.27025,2.42727,2.55986,2.65791,2.7133,2.72111,2.68047,2.59468,2.47072
1,1.0103,1.04166,1.09468,1.17017,1.26888,1.39108,1.53599,1.70115,1.88176,2.07027,2.25631,2.42727,2.56955,2.67044,2.7201,2.71342,2.651,2.53905,2.38826,2.21199
1,1.01194,1.04835,1.11,1.19791,1.31292,1.45499,1.62234,1.81055,2.01169,2.21398,2.40233,2.55986,2.67044,2.72167,2.7075,2.62956,2.49683,2.32372,2.12724,1.9242
1,1.01372,1.05556,1.12652,1.22786,1.36039,1.52351,1.71389,1.92417,2.1421,2.35059,2.52931,2.65791,2.7201,2.7075,2.62181,2.47433,2.28321,2.06936,1.85254,1.64872
1,1.01563,1.06331,1.14428,1.26004,1.41127,1.5964,1.80977,2.03997,2.26912,2.47393,2.62923,2.7133,2.71342,2.62956,2.47433,2.26946,2.0402,1.80997,1.59691,1.41268
1,1.01769,1.07161,1.16333,1.29451,1.46554,1.67334,1.90893,2.15551,2.38835,2.57773,2.69517,2.72111,2.651,2.49683,2.28321,2.0402,1.79589,1.57166,1.38064,1.22889
1,1.0199,1.08051,1.18371,1.33135,1.52318,1.75391,2.01005,2.26795,2.49513,2.65614,2.72216,2.68047,2.53905,2.32372,2.06936,1.80997,1.57166,1.37027,1.21275,1.1002
1,1.02228,1.09004,1.20553,1.37068,1.5842,1.83767,2.11162,2.37415,2.58473,2.70421,2.70782,2.59468,2.38826,2.12724,1.85254,1.59691,1.38064,1.21275,1.09478,1.02477
1,1.02477,1.1002,1.22889,1.41268,1.64872,1.9242,2.21199,2.47072,2.65257,2.71828,2.65257,2.47072,2.21199,1.9242,1.64872,1.41268,1.22889,1.1002,1.02477,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.00006,1.00025,1.00056,1.00099,1.00154,1.00222,1.00302,1.00395,1.005,1.00617,1.00747,1.0089,1.01044,1.01211,1.01391,1.01583,1.01788,1.02005,1.02235,1.02477
1,1.00025,1.00099,1.00222,1.00395,1.00617,1.0089,1.01211,1.01583,1.02005,1.02477,1.03,1.03574,1.04198,1.04874,1.05601,1.0638,1.07211,1.08095,1.09031,1.1002
1,1.00056,1.00222,1.005,1.0089,1.01391,1.02005,1.02732,1.03574,1.04529,1.05601,1.06789,1.08095,1.09519,1.11062,1.12727,1.14513,1.16421,1.18453,1.20608,1.22889
1,1.00099,1.00395,1.0089,1.01583,1.02477,1.03574,1.04874,1.0638,1.08095,1.1002,1.12159,1.14513,1.17085,1.19876,1.22889,1.26123,1.29579,1.33257,1.37154,1.41268
1,1.00154,1.00617,1.01391,1.02477,1.03879,1.05601,1.07646,1.1002,1.12727,1.15771,1.19158,1.22889,1.26966,1.31391,1.3616,1.41268,1.46708,1.52468,1.58529,1.64872
1,1.00222,1.0089,1.02005,1.03574,1.05601,1.08095,1.11062,1.14513,1.18453,1.22889,1.27823,1.33257,1.39185,1.45594,1.52468,1.59776,1.67482,1.75535,1.83872,1.9242
1,1.00302,1.01211,1.02732,1.04874,1.07646,1.11062,1.15135,1.19876,1.25293,1.31391,1.38163,1.45594,1.53656,1.62303,1.71469,1.81066,1.90984,2.01088,2.1122,2.21199
1,1.00395,1.01583,1.03574,1.0638,1.1002,1.14513,1.19876,1.26123,1.33257,1.41268,1.50127,1.59776,1.7013,1.81066,1.9242,2.03988,2.15526,2.26758,2.37378,2.47072
1,1.005,1.02005,1.04529,1.08095,1.12727,1.18453,1.25293,1.33257,1.4233,1.52468,1.63582,1.75535,1.88125,2.01088,2.14095,2.26758,2.38647,2.49313,2.58316,2.65257
1,1.00617,1.02477,1.05601,1.1002,1.15771,1.22889,1.31391,1.41268,1.52468,1.64872,1.78286,1.9242,2.06885,2.21199,2.34798,2.47072,2.57411,2.65257,2.7016,2.71828
1,1.00747,1.03,1.06789,1.12159,1.19158,1.27823,1.38163,1.50127,1.63582,1.78286,1.93859,2.09777,2.25381,2.39901,2.5252,2.62449,2.69019,2.71761,2.70476,2.65257
1,1.0089,1.03574,1.08095,1.14513,1.22889,1.33257,1.45594,1.59776,1.75535,1.9242,2.09777,2.26758,2.42361,2.55526,2.65257,2.70759,2.7156,2.67592,2.59196,2.47072
1,1.01044,1.04198,1.09519,1.17085,1.26966,1.39185,1.53656,1.7013,1.88125,2.06885,2.25381,2.42361,2.56481,2.66485,2.7141,2.70759,2.64598,2.53545,2.38647,2.21199
1,1.01211,1.04874,1.11062,1.19876,1.31391,1.45594,1.62303,1.81066,2.01088,2.21199,2.39901,2.55526,2.66485,2.7156,2.7016,2.62449,2.49313,2.32164,2.12659,1.9242
1,1.01391,1.05601,1.12727,1.22889,1.3616,1.52468,1.71469,1.9242,2.14095,2.34798,2.5252,2.65257,2.7141,2.7016,2.61677,2.47072,2.28125,2.06885,1.85285,1.64872
1,1.01583,1.0638,1.14513,1.26123,1.41268,1.59776,1.81066,2.03988,2.26758,2.47072,2.62449,2.70759,2.70759,2.62449,2.47072,2.26758,2.03988,1.81066,1.59776,1.41268
1,1.01788,1.07211,1.16421,1.29579,1.46708,1.67482,1.90984,2.15526,2.38647,2.57411,2.69019,2.7156,2.64598,2.49313,2.28125,2.03988,1.79672,1.57294,1.38163,1.22889
1,1.02005,1.08095,1.18453,1.33257,1.52468,1.75535,2.01088,2.26758,2.49313,2.65257,2.71761,2.67592,2.53545,2.32164,2.06885,1.81066,1.57294,1.37154,1.21355,1.1002
1,1.02235,1.09031,1.20608,1.37154,1.58529,1.83872,2.1122,2.37378,2.58316,2.7016,2.70476,2.59196,2.38647,2.12659,1.85285,1.59776,1.38163,1.21355,1.09519,1.02477
1,1.02477,1.1002,1.22889,1.41268,1.64872,1.9242,2.21199,2.47072,2.65257,2.71828,2.65257,2.47072,2.21199,1.9242,1.64872,1.41268,1.22889,1.1002,1.02477,1
